item,review,date,rating,review_word,item_url,year
Bushnell Powerview 16x50 Binocular,it would've been stupid to trash,"April 24, 2018",1,"so, these are the SECOND Bushnell Powerview 16 x 50 binoculars...right? they BOTH had double vision! On the first pair, I trashed them...my stupidity (well...if the warranty was true, it would've been stupid to trash..but...read on)...so I buy a second pair later on....they have double vision...so this time I pull out my binoc folder...see that it has a ""lifetime warranty""..call Bushnell, spoke to ""Travis"", explained all...he says well, if you still had the first ones, you could've returned them to us...so I said, well I have the second ones...so...per his instructions and direction, I returned the binocs (I had to pay $14 shippping)...because I was informed that Bushnell would either 1. repair or 2. replace.....After a month's time, I receive a letter from them saying they couldn't repair, but they would ""offer"" me another pair for ""only"" $56.61..right? THAT was $25 MORE than what I had originally paid for these worthless things....so, I called Bushnell, once AGAIN....repeated my conversation originally with ""Travis""....the Bushnell rep tells me they found ""dirt and leaves"" inside the lens...ok...""WHAT""? We are not hunters...we are not campers...I know they don't know this...but honestly, neither of these two binocs had ever left my ""shoulder""....I am convinced they are not honoring their warranties...so...I'm out a pair of binnocs I've paid for twice, plus the $14 shipping....NEVER...NEVER buy these...don't know where the 3,4 or more ""star reviews"" come from...but this is an honest one!",https://www.amazon.com/Bushnell-131650-Powerview-16x50-Binocular/dp/B00000J6WY/ref=sr_1_1?crid=1I40MFHIDGILJ&dib=eyJ2IjoiMSJ9.KNr0m1DOHyET_MBtqsSfLQ.E7-2DsB_O5eBWONpmwDZkqUQu1tm-l6McefvD41s1nY&dib_tag=se&keywords=B00000J6WY&qid=1716327670&sprefix=b00000j6wy%2Caps%2C369&sr=8-1,2018
Riddle Box,Crappie,"November 16, 2018",1,Crappie,https://www.amazon.com/Riddle-Box-Insane-Clown-Posse/dp/B00000057M/ref=sr_1_1?crid=22LNFUC6O3KYO&dib=eyJ2IjoiMSJ9.dpW2X3uudffdBpj7m-IC_g.dOmyc2f7xuihAsiwa2gz7NzPVxykGYnHacpvnLYUmbY&dib_tag=se&keywords=B00000057M&qid=1716291071&sprefix=b00000057m%2Caps%2C348&sr=8-1,2018
Play,One Star,"January 26, 2018",1,"CD is defective, but my printer's defunct, so I can't print a return label. I'm stuck. Po po me.",https://www.amazon.com/Play-Moby/dp/B00000J6AG/ref=sr_1_1?crid=37CCM6X7KCM2F&dib=eyJ2IjoiMSJ9.wjLOn2_mPix7oi5zvR_VJw.LpSioksqjlOaM7zt3Zfdtcc0Ip8Q_m41AdCSiNairBQ&dib_tag=se&keywords=B00000J6AG&qid=1716326925&sprefix=b00000j6ag%2Caps%2C448&sr=8-1,2018
Antichrist Superstar,Two Stars,"July 18, 2018",2,"I love Manson, but should have listened to all the songs first. SUCKS!!!!!! Could not send back.",https://www.amazon.com/Antichrist-Superstar-Marilyn-Manson/dp/B000001Y2U/ref=sr_1_1?crid=1NR6NX5Z7ZUCY&dib=eyJ2IjoiMSJ9.qL2UIBu8WzeeTOxp22ihYA.GglBOjR-g1nUeh0PAyhbq_gqQKDFr4W2YHeZRY411xo&dib_tag=se&keywords=B000001Y2U&qid=1716294963&sprefix=b000001y2u%2Caps%2C186&sr=8-1,2018
Speakerboxxx / The Love Below,Wanted to like it,"April 25, 2018",2,"well I thought that I would really like this cd, but it wasn't to be with this one.",https://www.amazon.com/Speakerboxxx-Love-Below-Outkast/dp/B0000AGWFX/ref=sr_1_1?crid=1AFQTL8YLGFHB&dib=eyJ2IjoiMSJ9.JnRZsWrxq02bSJU0kjXMfA.1b03CaAMVgOIuBb3mRU_UM-SlP50aHbtx9Uuztz-JLc&dib_tag=se&keywords=B0000AGWFX&qid=1716281291&sprefix=b0000agwfx%2Caps%2C385&sr=8-1,2018
High Country Snows,WARNING ! The MP3 version is NOT the Remastered version-Its the standard 1985 release.,"July 26, 2018",1,"WARNING ! The MP3 version is NOT the Remastered version-Its the standard 1985 release. I was going to purchase the mp3 version of this wonderful 2-fer-but I got a redirect to the 1985 standard version. Check it out and see for yourself. Note the date,etc.
I am very disappointed Amazon. I'll wait a bit,and see what gives,but I think if I have to buy the 2-fer instead of the mp3, I'll go to my local record store.",https://www.amazon.com/High-Country-Snows-Dan-Fogelberg/dp/B00000261V/ref=sr_1_1?crid=XT4N6YVBTPUK&dib=eyJ2IjoiMSJ9.tAZafTCS4JmVTfR63ZFIfw.8by2Cr0Mi-Ie2Xci-Tfw5srWl9eZbxPjGcgiwHBZDuk&dib_tag=se&keywords=B00000261V&qid=1716311609&sprefix=b00000261v%2Caps%2C214&sr=8-1,2018
The Ranch (Unrated and Uncut) [DVD],Name of a song,"November 26, 2018",2,"At 9.00 minutes in, there is a song playing. Does anyone know the song and who sings it? The internet lists a soundtrack and it has a list of songs but you can't find any of the songs or artists to actually hear them.",https://www.amazon.com/Ranch-Unrated-Uncut-Jennifer-Aspen/dp/B00062IZQS/ref=sr_1_1?crid=2I2POD3U61SZL&dib=eyJ2IjoiMSJ9.OiNFfLYsWHnF5R8lRXVmVA.vXf4Yrt5ElND3qvtFxJ7pznZReMtWCjzdD3PXDvWoXs&dib_tag=se&keywords=B00062IZQS&qid=1716282877&sprefix=b00062izqs%2Caps%2C180&sr=8-1,2018
Play,Disappointed,"October 6, 2018",2,"One good song the rest not like able
Sorry Moby",https://www.amazon.com/Play-Moby/dp/B00000J6AG/ref=sr_1_1?crid=37CCM6X7KCM2F&dib=eyJ2IjoiMSJ9.wjLOn2_mPix7oi5zvR_VJw.LpSioksqjlOaM7zt3Zfdtcc0Ip8Q_m41AdCSiNairBQ&dib_tag=se&keywords=B00000J6AG&qid=1716326925&sprefix=b00000j6ag%2Caps%2C448&sr=8-1,2018
Oops!... I Did It Again,Product was Damaged,"September 14, 2018",1,Purchased item and package was in excellent condition however CD and case was broken. I was so excited to listen to this album.,https://www.amazon.com/Oops-Did-Again-Britney-Spears/dp/B00004SCX6/ref=sr_1_1?crid=10TBQ1GO36VOG&dib=eyJ2IjoiMSJ9.vGUOfWSSqyfoD6i8rUxrvQ.dvpeNpX46bvlykkO8wQ66PY65ccI2ljKCIQUo6-6oww&dib_tag=se&keywords=B00004SCX6&qid=1716240533&sprefix=b00004scx6%2Caps%2C364&sr=8-1,2018
Nashville Skyline,One excellent song,"April 23, 2018",2,"""I Threw It All Away"" is a meaningful song with a nice melody but weird chord changes. Otherwise, this album is desolate to me.",https://www.amazon.com/Nashville-Skyline-Bob-Dylan/dp/B0000024UM/ref=sr_1_1?crid=2IKR5XXP256DL&dib=eyJ2IjoiMSJ9.WGmVJKumvELm9suserSztw.U7nwmTUC6ieNnyd3p3BVgoGeMWxmqam-9iBEOQzd-Mo&dib_tag=se&keywords=B0000024UM&qid=1716299161&sprefix=b0000024um%2Caps%2C353&sr=8-1,2018
